,id,listing,district,area,address,xiaoqu,sqm,room,lvgroom,year,renovation,floor,direction,price,lat,lng,postal,station_1,station_2,dist_1,dist_2
28,shhkz000020769,"新乡小区(254弄),主卧朝南,大平层,位置安静,视野好",虹口,四川北路,东宝兴路254弄28支弄,新乡小区(254弄),37,1,1.0,1995.0,2.0,high,S,3900,31.257923,121.481063,,徐泾东,徐泾东,3700.0,4200.0
29,shbsz000026199,"祥腾生活广场,两房朝南,小区中心位置,采光充足,中式风格",宝山,淞南,淞发路901弄,祥腾生活广场,40,2,2.0,2009.0,3.0,high,S,3500,31.33934799999999,121.47981,,金科路,张江高科,3100.0,3100.0
30,shmhz000030117,"西郊庄园(马德里洋房),小户型,独立电梯,小区中心位置,采光充足",闵行,华漕,金丰路777弄,西郊庄园(马德里洋房),89,1,2.0,2014.0,3.0,middle,NS,12000,31.2031285,121.2843983,,四川北路站,国际客运中心,900.0,900.0
31,shpdz000073400,"万科翡翠公园(荣科路),大平层,繁华地段,美式风格,位置安静",浦东,张江,荣科路,万科翡翠公园(荣科路),55,1,1.0,2016.0,3.0,low,E,5500,31.1789185,121.608904,201203.0,富锦路,江杨北路,3200.0,3400.0
32,shhkz000020629,"振兴公寓,独立电梯,采光充足,现代风格,带家具家电",虹口,北外滩,九龙路515号,振兴公寓,52,2,0.0,1990.0,1.0,low,SE,6300,31.25235,121.491669,200085.0,三门路,殷高西路,700.0,2300.0
33,shbsz000026156,"春雷路431弄,主卧朝南,小区入口附近,房型正气,靠近地铁口",宝山,月浦,春雷路431弄,春雷路431弄,41,1,1.0,1994.0,1.0,middle,S,1700,31.411987,121.433417,,南京西路,汉中路,500.0,1400.0
35,shbsz000027039,"逸仙二村(国权北路290弄),南北通透,靠近花园,采光充足,厨卫朝北",宝山,高境,国权北路290弄,逸仙二村(国权北路290弄),88,3,1.0,1995.0,1.0,low,NS,5500,31.315782,121.494514,,东宝兴路,西藏北路,500.0,1400.0
36,shjaz000008387,"泰兴路335号,主卧朝南,一梯两户,繁华地段,得房率高",静安,南京西路,泰兴路335号,泰兴路335号,48,2,0.0,1985.0,3.0,high,E,8500,31.231891,121.45737,200085.0,江浦公园,黄兴路,1800.0,2700.0
37,shlwz000005867,"汇龙新城,大两房,采光充足,欧式风格,全南户型",黄浦,打浦桥,徐家汇路515弄,汇龙新城,105,2,2.0,2002.0,3.0,middle,S,13000,31.20828,121.475192,,临平路,国际客运中心,1000.0,1300.0
38,shhkz000020986,"大城小室,主卧朝南,采光充足,简约风格,卫生间全明",虹口,四川北路,华昌路9号,大城小室,45,1,0.0,2006.0,3.0,high,SW,4000,31.261333,121.478543,200085.0,打浦桥,新天地,1000.0,1400.0
40,shypz000027738,"明月坊,主卧朝南,小区中心位置,采光充足,房型正气",杨浦,东外滩,河间路555弄,明月坊,46,1,1.0,2013.0,2.0,high,S,4800,31.268838,121.539705,201203.0,陆家浜路,新天地,1400.0,1600.0
41,shhkz000020734,"浦江名邸,客厅带阳台,繁华地段,采光充足,南北通透",虹口,临平,海伦路88弄,浦江名邸,90,2,1.0,2004.0,3.0,middle,E,8500,31.256088,121.496004,200085.0,伊犁路,水城路,1300.0,2200.0
42,shlwz000005886,"汇龙新城,两房朝南,大平层,靠近花园,视野好",黄浦,打浦桥,徐家汇路515弄,汇龙新城,158,3,2.0,2002.0,3.0,high,NS,16000,31.20828,121.475192,,曲阳路,四平路,1100.0,1300.0
43,shcnz000010514,"天山华庭,主卧朝南,靠近地铁口,采光充足,房型正气",长宁,天山,威宁路458弄,天山华庭,100,3,1.0,2009.0,2.0,high,S,11500,31.206710600000005,121.3834753,200336.0,鞍山新村,四平路,900.0,1600.0
45,shlwz000005956,"中汇公寓,两房朝南,大平层,小区入口附近,价格可谈",黄浦,打浦桥,局门路1弄,中汇公寓,141,3,2.0,2002.0,3.0,middle,S,13500,31.208621,121.480264,,江湾镇,殷高西路,700.0,2400.0
46,shcnz000010601,"御翠豪庭,主卧朝南,独立电梯,小区入口附近,带家具家电",长宁,古北,黄金城道688弄,御翠豪庭,112,2,2.0,2008.0,3.0,high,S,22000,31.196267,121.399872,200336.0,海伦路,东宝兴路,400.0,1200.0
47,shhkz000021523,"邮电新村(四平路621弄),主卧朝南,繁华地段,黄金楼层,靠近地铁口",虹口,四平路,四平路621弄,邮电新村(四平路621弄),37,1,0.0,1983.0,3.0,middle,S,4000,31.271662,121.494212,,杨高南路,高科西路,300.0,2200.0
48,shypz000027177,"许昌路1487弄,小户型,一梯三户,小区中心位置,采光充足",杨浦,江浦,许昌路1487弄,许昌路1487弄,35,1,1.0,1987.0,1.0,high,S,3500,31.271576,121.512635,200085.0,四平路,鞍山新村,1200.0,1600.0
49,shhpz000006460,"外滩滨江名人苑,带飘窗,大平层,靠近花园,价格可谈",黄浦,外滩,中华路88弄,外滩滨江名人苑,103,2,2.0,2004.0,4.0,middle,S,14500,31.223417,121.498488,200085.0,五角场站,翔殷路,1800.0,1900.0
50,shhkz000020810,"江杨家园,小区中心位置,采光充足,小区景观位置,价格可谈",虹口,江湾凉城,江杨南路55弄,江杨家园,58,1,1.0,2007.0,2.0,middle,S,3000,31.30906,121.4715,,金科路,张江高科,3100.0,3100.0
51,shhkz000021375,"福龙大厦,主卧朝南,独立电梯,小区中心位置,带露台",虹口,四平路,四平路95号,福龙大厦,211,3,2.0,1996.0,3.0,high,S,14500,31.25913,121.488701,200085.0,紫藤路,中春路,3000.0,8400.0
52,shpdz000075383,"大华锦绣华城四街区（振东花苑北艾路1765弄）,南北通透,小区中心位置,采光充足,中式风格",浦东,六里,北艾路1765弄,大华锦绣华城四街区（振东花苑北艾路1765弄）,86,2,2.0,2010.0,3.0,high,NS,6500,31.179476300000005,121.5222572,200125.0,航中路,紫藤路,800.0,2200.0
53,shypz000028447,"恒阳花苑,南北通透,一梯两户,小区入口附近,房型正气",杨浦,江浦,辽源西路230弄,恒阳花苑,66,2,1.0,2005.0,2.0,high,NS,6200,31.2684876,121.5089583,200085.0,市光路,翔殷路,700.0,2200.0
54,shypz000026867,"公园3000,主卧朝南,一梯两户,繁华地段,得房率高",杨浦,黄兴,双阳北路288弄,公园3000,86,2,2.0,2003.0,2.0,high,NS,7500,31.294453000000004,121.525494,200000.0,上海图书馆,衡山路,200.0,900.0
55,shpdz000073403,"万科翡翠公园(荣科路),大开间,小区入口附近,拎包入住,配套成熟",浦东,张江,荣科路,万科翡翠公园(荣科路),55,1,1.0,2016.0,3.0,middle,E,5500,31.1789185,121.608904,201203.0,锦江乐园,莲花路,700.0,2900.0
56,shmhz000030803,"万科城市花园(1期),大两房,错层式住宅,繁华地段,得房率高",闵行,七宝,七莘路3333号,万科城市花园(1期),89,2,2.0,1994.0,3.0,low,S,6500,31.160448,121.34381100000002,201101.0,海伦路,临平路,0.0,900.0
57,shmhz000029589,"航华二村三街坊,主卧朝南,一梯三户,位置安静,采光充足",闵行,金汇龙柏,航华二村三街坊,航华二村三街坊,38,1,0.0,1995.0,1.0,high,S,3200,31.167488,121.350044,,临平路,海伦路,100.0,1100.0
58,shypz000026602,"市光四村,主卧朝南,采光充足,大两房,得房率高",杨浦,中原,市光四村,市光四村,58,2,1.0,1992.0,2.0,high,S,4100,31.321403000000004,121.536065,,海伦路,临平路,0.0,900.0
59,shxvz000019914,"鸿艺豪苑,大开间,小区中心位置,得房率高,中式风格",徐汇,淮海南,淮海中路1500弄,鸿艺豪苑,137,2,2.0,2000.0,3.0,low,E,22000,31.209233,121.445927,,东宝兴路,西藏北路,1000.0,1800.0
60,shmhz000030687,"古美七村,客厅朝南,一梯三户,位置安静,拎包入住",闵行,古美,平阳路50弄,古美七村,79,2,1.0,1995.0,3.0,high,E,6300,31.145155,121.409045,,中山公园站,延安西路,700.0,2800.0
61,shhkz000020982,"海昌苑,主卧朝南,新式里弄,小区中心位置,采光充足",虹口,临平,海伦路306弄,海昌苑,137,3,2.0,2003.0,3.0,middle,S,12500,31.257715,121.491996,200085.0,江湾镇,大柏树,1500.0,2400.0
62,shhkz000020984,"瑞虹新城2期,主卧朝南,靠近地铁口,黄金楼层,现代风格",虹口,临平,临平路133弄,瑞虹新城2期,88,2,1.0,2004.0,3.0,high,S,9500,31.261775,121.498034,200085.0,海伦路,临平路,200.0,900.0
63,shhkz000020993,"海昌苑,靠近地铁口,采光充足,靠近花园,价格可谈",虹口,临平,海伦路306弄,海昌苑,138,2,1.0,2003.0,3.0,low,SE,6200,31.257715,121.491996,200085.0,四川北路站,宝山路,400.0,700.0
64,shhkz000021081,"虹祺花苑,大两房,大平层,繁华地段,带露台",虹口,四川北路,宝山路888弄|宝山路874,虹祺花苑,115,2,2.0,1999.0,3.0,high,S,8000,31.264405,121.47832,,江浦公园,黄兴路,2100.0,2700.0
65,shcnz000010607,"宁康小区,主卧朝南,一梯两户,位置安静,配套成熟",长宁,中山公园,长宁路1302弄73支弄,宁康小区,60,2,1.0,1990.0,2.0,middle,NS,6000,31.220303,121.413465,,三门路,殷高东路,1000.0,1000.0
66,shhkz000021253,"车站南路407弄,主卧朝南,一梯三户,小区中心位置,得房率高",虹口,江湾凉城,车站南路407弄,车站南路407弄,54,2,1.0,1992.0,2.0,middle,SE,3800,31.294421000000003,121.473454,,鞍山新村,四平路,1000.0,1200.0
67,shhkz000021432,"海伦都市佳苑,繁华地段,得房率高,近商圈,房型正气",虹口,临平,海伦路188弄,海伦都市佳苑,105,2,2.0,2002.0,2.0,high,S,8800,31.257025,121.493895,200085.0,五角场站,国权路,700.0,800.0
68,shhkz000021460,"新朝时代,繁华地段,得房率高,近商圈,房型正气",虹口,四川北路,中州路133弄,新朝时代,54,1,1.0,2004.0,3.0,high,S,6500,31.25354,121.482171,200085.0,宋园路,伊犁路,900.0,1500.0
69,shypz000027247,"长隆小区,一门关,一梯三户,繁华地段,得房率高",杨浦,控江,长阳路2087弄,长隆小区,37,1,1.0,1984.0,2.0,high,NS,3800,31.273547,121.540786,201203.0,南京西路,汉中路,200.0,1600.0
70,shypz000027573,"新江湾中凯城市之光名苑,两房朝南,一梯两户,拎包入住,现代风格",杨浦,新江湾,国安路789弄,新江湾中凯城市之光名苑,144,3,2.0,2015.0,3.0,low,NS,15000,31.3140812,121.5047195,,东宝兴路,西藏北路,500.0,1400.0
71,shypz000027850,"旭辉海上国际(海际商业广场),繁华地段,拎包入住,现代风格,配套成熟",杨浦,控江,控江路2068号,旭辉海上国际(海际商业广场),67,1,1.0,2015.0,3.0,middle,S,7000,31.273113,121.509391,200085.0,江苏路,上海图书馆,1000.0,1800.0
72,shypz000028086,"铁路新村(国定路277弄),主卧朝南,繁华地段,房型正气,黄金楼层",杨浦,五角场,国定路277弄,铁路新村(国定路277弄),41,1,1.0,1982.0,2.0,middle,S,3800,31.294778000000004,121.511105,200433.0,世纪大道,商城路,1100.0,1600.0
73,shmhz000030859,"恒盛苑,南北通透,靠近地铁口,拎包入住,价格可谈",闵行,金虹桥,姚虹路299弄,恒盛苑,139,3,2.0,2004.0,3.0,middle,S,14000,31.190675,121.40847,200336.0,临平路,鞍山新村,1300.0,1700.0
74,shjaz000008746,"奉贤路193号,主卧朝南,一梯三户,靠近地铁口,房型正气",静安,南京西路,奉贤路193号,奉贤路193号,48,2,0.0,1985.0,3.0,middle,S,8800,31.2302365,121.45835990000002,200085.0,新江湾城,市光路,900.0,1900.0
76,shhkz000020139,"大城小室,主卧朝南,独立电梯,靠近地铁口,房型正气",虹口,四川北路,华昌路9号,大城小室,45,1,0.0,2006.0,3.0,middle,S,4600,31.261333,121.478543,200085.0,富锦路,江杨北路,2100.0,3600.0
77,shcnz000010597,"金桥花园,主卧朝南,采光充足,客厅带阳台,视野好",长宁,镇宁,延安西路610弄48号,金桥花园,121,3,2.0,1997.0,2.0,low,S,11000,31.2161207,121.4358946,200085.0,松江新城,东川路,40500.0,40800.0
78,shpdz000075168,"朱家滩,主卧朝南,采光充足,南北通透,得房率高",浦东,潍坊,潍坊路89弄,朱家滩,34,1,1.0,1986.0,2.0,low,S,4100,31.22383,121.519694,,嘉善路,大木桥路,600.0,600.0
79,shhkz000021436,"大连路975弄,主卧朝南,婚房首选,中式风格,拎包入住",虹口,临平,大连路975弄,大连路975弄,28,1,0.0,1990.0,3.0,middle,S,4500,31.2671177,121.5062517,200085.0,合川路,星中路,2100.0,2700.0
80,shypz000027673,"上海梦想,主卧朝南,一梯两户,小区景观位置,拎包入住",杨浦,新江湾,政悦路500弄,上海梦想,102,3,1.0,2006.0,3.0,high,S,8000,31.332154,121.524731,,世纪公园,蓝村路,1100.0,1600.0
81,shbsz000025893,"富浩河滨花园,南北通透,位置安静,拎包入住,配套成熟",宝山,月浦,德都路88弄,富浩河滨花园,97,2,2.0,2006.0,1.0,middle,S,3500,31.406171,121.4264222,,伊犁路,水城路,1600.0,1900.0
82,shbsz000025993,"嘉诚国际花园,主卧朝南,靠近地铁口,房型正气,中式风格",宝山,月浦,德都路50弄,嘉诚国际花园,91,2,2.0,2009.0,3.0,high,NS,4000,31.404509,121.4274151,,打浦桥,鲁班路,700.0,1000.0
83,shjsz000003095,"石化海棠新村,大开间,一梯两户,靠近地铁口,拎包入住",金山,金山,海棠新村,石化海棠新村,59,2,1.0,1994.0,3.0,middle,S,1700,30.71881399999999,121.348729,200540.0,临平路,提篮桥,700.0,1600.0
85,shxvz000020584,"汇成桂苑,主卧朝南,一梯两户,靠近花园,配套成熟",徐汇,大木桥,清真路58弄,汇成桂苑,103,3,2.0,1999.0,2.0,middle,S,11000,31.1991636,121.4586159,200032.0,江苏路,武宁路,1000.0,3700.0
86,shmhz000030986,"蓝色港湾,主卧朝南,小区中心位置,带露台,三房朝南",闵行,古美,龙茗路1458弄,蓝色港湾,197,5,3.0,2004.0,3.0,high,S,1800,31.147576,121.387065,,锦江乐园,莲花路,1600.0,2700.0
87,shpdz000069789,"锦绣天第,小户型,一梯两户,繁华地段,拎包入住",浦东,杨东,锦和路289弄,锦绣天第,108,2,2.0,2004.0,3.0,low,E,9000,31.205643,121.537983,201203.0,海伦路,四川北路站,300.0,900.0
88,shcnz000010571,"里昂花园(荣华东道59弄),大开间,大平层,靠近地铁口,配套成熟",长宁,古北,荣华东道59弄,里昂花园(荣华东道59弄),118,2,2.0,1995.0,3.0,high,S,15500,31.194632,121.396376,200336.0,海伦路,东宝兴路,1000.0,1700.0
89,shlwz000006080,"海丽花园,主卧朝南,一梯两户,繁华地段,采光充足",黄浦,打浦桥,打浦路80弄,海丽花园,103,2,2.0,1997.0,3.0,middle,SW,11000,31.203162,121.469617,,临平路,海伦路,200.0,800.0
90,shhkz000021555,"远虹大厦,主卧朝南,独立电梯,小区中心位置,带露台",虹口,曲阳,海门路609号,远虹大厦,88,2,1.0,1995.0,2.0,low,E,6500,31.257467,121.500308,200085.0,曲阳路,赤峰路,500.0,1000.0
91,shbsz000026671,"远洋香奈,主卧朝南,小区中心位置,采光充足,拎包入住",宝山,杨行,杨泰路2158弄,远洋香奈,85,2,2.0,2012.0,3.0,low,S,4000,31.375344,121.4408347,,江浦公园,黄兴路,2000.0,2900.0
92,shjaz000008501,"中行小区,主卧朝南,近商圈,采光充足,小户型",静安,曹家渡,万航渡路623弄,中行小区,27,1,0.0,1990.0,2.0,high,S,4200,31.2263844,121.4333269,200085.0,通河新村,共康路,600.0,2200.0
93,shmhz000031154,"南方新村,小户型,一梯两户,小区景观位置,得房率高",闵行,古美,南方新村,南方新村,61,2,1.0,1993.0,2.0,middle,S,4500,31.135453,121.400748,,伊犁路,宋园路,700.0,900.0
94,shhkz000020693,"瑞嘉苑,大两房,大平层,繁华地段,采光充足",虹口,临平,新嘉路1弄,瑞嘉苑,90,2,2.0,2003.0,3.0,low,S,9000,31.256611,121.48925,200085.0,鲁班路,打浦桥,900.0,900.0
95,shhkz000020966,"溧阳华府,主卧朝南,独立电梯,小区中心位置,中式风格",虹口,四平路,四平路283号,溧阳华府,148,3,2.0,2007.0,3.0,middle,NS,13000,31.26298599999999,121.488545,200085.0,水城路,北新泾,1100.0,1800.0
96,shhkz000021222,"瑞虹新城1期,主卧朝南,一梯三户,繁华地段,视野好",虹口,临平,临平路333号,瑞虹新城1期,102,2,2.0,2000.0,3.0,low,S,9500,31.262713,121.495524,200085.0,临平路,海伦路,100.0,1100.0
97,shhkz000021257,"西南小区(大连西路270弄),主卧朝南,新式里弄,小区中心位置,采光充足",虹口,曲阳,大连西路270弄,西南小区(大连西路270弄),28,1,0.0,1980.0,1.0,high,S,3000,31.278378000000004,121.487493,200085.0,新江湾城,淞发路,1900.0,4200.0
98,shypz000027358,"水月坊,小户型,繁华地段,得房率高,房型正气",杨浦,东外滩,河间路688弄,水月坊,62,2,1.0,2011.0,3.0,middle,S,5200,31.27000499999999,121.541405,201203.0,鞍山新村,同济大学,400.0,800.0
99,shbsz000025948,"通河四村,主卧朝南,新式里弄,繁华地段,采光充足",宝山,通河,通河四村,通河四村,56,2,1.0,1994.0,3.0,middle,S,4900,31.33123,121.44505,,江浦公园,黄兴路,2100.0,2700.0
100,shcnz000010373,"古北国际广场,主卧朝南,小区景观位置,采光充足,价格可谈",长宁,古北,富贵东道229弄,古北国际广场,78,1,1.0,2006.0,3.0,high,S,15000,31.195171,121.4056818,200336.0,江浦公园,黄兴路,2000.0,2900.0
101,shlwz000005446,"大同花园(3期),小户型,繁华地段,房型正气,一门关",黄浦,打浦桥,鲁班路88弄,大同花园(3期),104,2,2.0,2003.0,3.0,high,NS,12000,31.20714559999999,121.4735538,,殷高西路,江湾镇,100.0,3100.0
102,shcnz000010739,"天台家园(新渔东路550弄),主卧朝南,靠近地铁口,采光充足,简约风格",长宁,虹开发,新渔东路550弄,天台家园(新渔东路550弄),54,1,1.0,2003.0,3.0,middle,S,6500,31.21266499999999,121.383429,200336.0,大华三路,行知路,300.0,1200.0
103,shhkz000021392,"瑞虹新城2期,主卧朝南,靠近地铁口,拎包入住,客厅带阳台",虹口,临平,临平路133弄,瑞虹新城2期,94,2,2.0,2006.0,3.0,low,SE,10000,31.261775,121.498034,200085.0,漕溪路,漕宝路,700.0,900.0
104,shypz000027114,"新江湾城一号作品,一门关,靠近地铁口,采光充足,价格可谈",杨浦,新江湾,政和路999弄,新江湾城一号作品,109,2,2.0,2010.0,1.0,low,S,7000,31.337446000000003,121.51726,,大木桥路,鲁班路,700.0,1400.0
105,shypz000027489,"抚顺路363弄,主卧朝南,采光充足,中式风格,得房率高",杨浦,鞍山,抚顺路363弄,抚顺路363弄,54,2,0.0,1985.0,1.0,low,S,5000,31.2779917,121.5100809,200085.0,南京西路,新闸路,700.0,1300.0
106,shypz000027864,"长隆小区,大开间,带采光天井,不靠近马路,得房率高",杨浦,控江,长阳路2087弄,长隆小区,49,2,1.0,1984.0,2.0,low,S,4600,31.273547,121.540786,201203.0,南京西路,黄陂南路,1000.0,1700.0
107,shypz000028024,"水月坊,主卧朝南,繁华地段,房型正气,中式风格",杨浦,东外滩,河间路688弄,水月坊,66,2,1.0,2011.0,3.0,low,S,6500,31.27000499999999,121.541405,201203.0,世纪大道,源深体育中心,200.0,1000.0
108,shbsz000026022,"高境一村,两房朝南,一梯两户,靠近地铁口,房型正气",宝山,高境,高境一村,高境一村,74,2,1.0,1995.0,1.0,middle,S,4500,31.320575,121.478283,,江湾镇,大柏树,800.0,3100.0
109,shbsz000026317,"华灵路510弄,南北通透,小区中心位置,黄金楼层,中式风格",宝山,大华,华灵路510弄,华灵路510弄,47,1,1.0,1994.0,2.0,high,S,3500,31.275086,121.420871,,人民广场,新闸路,1100.0,1800.0
110,shxvz000019879,"田林十二村,主卧朝南,靠近地铁口,带露台,中式风格",徐汇,田林,田林十二村,田林十二村,34,1,0.0,1986.0,1.0,high,S,3800,31.17279000000001,121.430081,200235.0,曲阳路,同济大学,1300.0,1400.0
111,shxvz000020019,"丝庐花语,南北通透,繁华地段,房型正气,拎包入住",徐汇,大木桥,零陵路29弄,丝庐花语,105,2,2.0,2006.0,3.0,high,NS,13000,31.194861,121.466781,200032.0,大柏树,赤峰路,1800.0,2200.0
112,shjaz000008538,"上海壹街区,大两房,近商圈,拎包入住,欧式风格",静安,昌平,凤阳路588弄,上海壹街区,98,2,2.0,2003.0,3.0,low,S,12500,31.232802000000003,121.465101,200085.0,市光路,嫩江路,1500.0,2500.0
113,shjaz000008619,"中凯城市之光(大沽路398弄),繁华地段,房型正气,近商圈,黄金楼层",静安,南京西路,大沽路398弄,中凯城市之光(大沽路398弄),108,2,2.0,2003.0,3.0,high,NS,16000,31.22566699999999,121.465367,200000.0,黄兴路,国权路,700.0,1200.0
115,shpdz000072165,"梅园四街坊(张杨路951弄),主卧朝南,小区中心位置,房型正气,现代风格",浦东,梅园,张杨路951弄,梅园四街坊(张杨路951弄),41,1,1.0,1988.0,3.0,high,E,4800,31.2304897,121.5264037,200085.0,鞍山新村,同济大学,100.0,1100.0
